asin,Name,Price,Avg Rating,# of Ratings
B09Q8RY5YG,Fake Maggots Realistic Soft Fishing Lures - Fake Worms for Fishing - Maggots Fishing Bait - Freshwater Saltwater Lake Lunkers Ice Fishing Soft Plastics Lures - Fake Gross Bugs That Look Real 50pcs,7.55,4.0,69
B07V5Y6JX1,"Dr.Fish Soft Plastic Baits, Fork Tail Soft Minnow Lures, 3 to 4-3/4 Inches Soft Swimbaits Jerk Shad Baits",7.99,4.2,825
B0BHTMWLRR,"RTGSE 60pcs 10each Color Dragonfly Larva Soft Silicone Fishing Lures for Bass, Trout,Crappie Soft Plastic Fishing Lure Sinking Deepwater Fishing Accessories for Saltwater Freshwater 2.2 Inch",14.99,4.7,5
B09X3TQCDS,"30pcs Luminous Octopus Skirts Soft Plastic Trolling Lure Squid Skirts Fishing Hoochie Bait Lures Size: 1.97 inches /2.76 inches /3.54 inches (1.97 inches -30pcs, Luminous Orange), Orange,Blue,White",8.99,3.9,6
B07SR8HW56,"Grub Fishing Lures, 60/120/240pcs Soft Plastic Bait for Saltwater / Freshwater, 10 Mixed Colors - 1.6/2.2/2.8 inches",14.49,4.2,410
B09132R8BP,"SANTKOL Soft Plastic Crawfish Bait,Crawdad Plastic Baits Creature Lure Bass Artificial Soft Shrimps Fishing Lure for Freshwater Saltwater 2.5-3.5in 30PCS",16.99,4.0,48
B08V4SHB85,"Fishing Squid Skirts Glow Lures Luminous Octopus SkirtsTrolling Lure Soft Plastic Fishing Bait for Bass Salmon Trout 5cm/1.96in,9cm/3.54in,11cm/4.33in Pack of 20",8.49,4.4,213
B08RS8BG8H,"PLUSINNO Fishing Lures, Trout Pike Walleye Bass Fishing Jig Heads, Pre-Rigged Soft Swimbaits with Ultra-Sharp Hooks, Bass Lures with Paddle Tail, Fishing Bait for Saltwater & Freshwater…",15.99,4.5,315
B09YXHYP51,"Phuayok 30pcs Soft Swimbait,Soft Plastic Fishing Lures,Worms for Fishing,Plastic Soft Lures for Bass Fishing",15.99,4.2,3
B09QFWX8MQ,"Dovesun Bluegill Swimbait, Soft Plastic Fishing Lures Artificial Fishing Bait Free to Adjust The Buoyancy and Counterweight for Trout Pike Bass Fishing 4 Color/ 11Pcs | Mixed 48Pcs",9.99,3.9,58
B071XBD2JK,"YUM Vibra King Tube Soft Plastic Bass Fishing Lure with Fine Ribs for Unique Feel and Vibration, 4.25 Inch Length, 8 per Pack",3.49,4.3,57
B07HHW1LMF,"Berkley 1478934 Powerbait Power Jerk Shad Soft Bait, 5"" Bait Length, White Pearl, Package of 10, 5"" (10 Count)",4.99,4.5,37
B09LHXD7PH,"HOBOHY Pre-Rigged Jig Head Soft Plastic Fishing Lures, with Paddle Tail Swimbait Saltwater & Freshwater for Bass Trout Pike Walleye Fishing Jigs Kit",15.99,4.3,65
B0947QFJ49,"Pingjia LYJE02, 6.5cm/2.55in, T-Tail Soft Lure Bait, Plastic Lure, 12Pack (Red, 6.5)",6.89,3.8,29
B09PTS2ZJK,"Dovesun Crawfish Lure, Soft Plastic Crawfish Lures Bass Fishing Three Colors Fishing Lures Kit 30PCS / 3.5in Artificial Shrimp Bait Suitable Carolina-Texas-Jig Heads Rigs",13.59,4.0,26
B076XYT5S3,Jig Head Soft Plastic Fishing Lures with Hook Sinking Swimbaits for Saltwater and Freshwater (Pack of 10),19.99,4.1,201
B085DM3NP8,"Bobby Garland Baby Shad Swim'R Soft Plastic Fishing Lure, Accessories for Freshwater Fishing, 2"", 15 per Pack, Glacier",3.79,4.7,318
B08WHFVJ7S,Matrix Shad Vortex Shad Paddle Tail Swimbait Soft Plastic Lure for Redfish and Bass,9.98,4.5,50
B09F9DXZL4,"Worm Lures Swimming Bait Soft Plastic Fishing Lure for Bass, Crappie, Trout, Pike, Sea Bass, Redfish, Striper,Fishing Lures for Freshwater & Saltwater",7.99,3.6,7
B00EO97COA,"Berkley PowerBait Pre-Rigged Swim Shad, 4"" (3 Count)",4.99,4.3,48
B08GKKCHGS,"Mgotu Wacky Senko Worms-4'' 5''Soft Plastic Lures,Bass Fishing Baits Kit with Tackle Box Freshwater Saltwater FB03",14.99,4.4,243
B09V6GJN93,"Soft Bionic Fishing Lure,Fishing Equipment bass Lures Fishing Stuff Simulation Loach Soft Bait,Slow Sinking Bionic Swimming Lures,Soft Bionic Lure with Spinning Tail",9.99,3.8,13
